id,date_recorded,funder,gps_height,installer,longitude,latitude,region_code,district_code,population,public_meeting,scheme_management,permit,construction_year,extraction_type_class,management_group,payment_type,quality_group,quantity,source_type,waterpoint_type
50785,2013-02-04,Dmdd,1996,DMDD,35.2907992,-4.05969643,21,3,321,True,Parastatal,True,2012,other,parastatal,never pay,good,seasonal,rainwater harvesting,other
51630,2013-02-04,Government Of Tanzania,1569,DWE,36.65670893,-3.30921425,2,2,300,True,VWC,True,2000,gravity,user-group,never pay,good,insufficient,spring,communal standpipe
17168,2013-02-01,Government Of Tanzania,1567,DWE,34.76786315,-5.00434437,13,2,500,True,VWC,True,2010,other,user-group,never pay,good,insufficient,rainwater harvesting,other
45559,2013-01-22,Finn Water,267,FINN WATER,38.05804609,-9.41867222,80,43,250,True,VWC,True,1987,other,user-group,unknown,good,dry,shallow well,other
49871,2013-03-27,Bruder,1260,BRUDER,35.00612345,-10.950412,10,3,60,True,Water Board,True,2000,gravity,user-group,monthly,good,enough,spring,communal standpipe
52449,2013-03-04,Government Of Tanzania,1685,DWE,36.68527855,-3.30242017,2,2,200,True,VWC,True,1990,gravity,user-group,never pay,good,enough,spring,communal standpipe
24806,2011-03-02,Government Of Tanzania,550,Gover,36.39804116,-7.54138236,11,7,600,True,VWC,True,2007,handpump,user-group,never pay,salty,enough,borehole,hand pump
28965,2013-01-25,Finw,234,FinW,39.60741997,-10.89378645,9,4,1,True,Water Board,True,1982,submersible,user-group,never pay,good,dry,borehole,communal standpipe multiple
36301,2013-01-23,Unicef,584,LGA,39.262950700000005,-10.82358805,90,33,40,True,VWC,False,1997,gravity,user-group,per bucket,good,insufficient,spring,communal standpipe
54122,2013-03-18,Lawatefuka Water Supply,1083,Lawatefuka water sup,37.09610836,-3.25175375,3,7,1,True,Water Board,True,2003,gravity,user-group,monthly,good,enough,spring,communal standpipe
419,2013-10-03,Germany Republi,1259,CES,37.23324768,-3.24112116,3,5,75,True,Water Board,True,2006,gravity,user-group,per bucket,good,enough,spring,communal standpipe
45750,2013-02-27,World Vision,608,World vision,37.68639178,-4.55597478,21,4,500,True,VWC,True,2002,other,user-group,never pay,good,dry,rainwater harvesting,other
653,2012-10-11,World Bank,0,Building works company Ltd,33.66107435,-4.16572015,14,2,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,Other,True,0,motorpump,user-group,unknown,good,dry,borehole,communal standpipe multiple
14017,2011-07-29,Ministry Of Water,0,DWE,33.00768032,-3.2095291,19,4,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,motorpump,user-group,per bucket,good,enough,borehole,communal standpipe multiple
44607,2011-03-02,Danida,1625,DANID,35.61562385,-7.87029042,11,1,1,True,VWC,True,1984,gravity,user-group,monthly,good,enough,spring,communal standpipe
40228,2013-06-03,Danida,916,DWE,35.48288627,-10.91259619,10,2,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,1989,gravity,user-group,annually,good,enough,river/lake,communal standpipe multiple
27714,2011-02-24,Government Of Tanzania,-39,DWE,39.85018977,-7.72794628,6,6,900,True,VWC,False,0,handpump,user-group,never pay,good,enough,shallow well,hand pump
28785,2011-03-11,Government Of Tanzania,1793,DWE,38.25402354,-4.5658016,4,1,1,True,VWC,True,1978,gravity,user-group,monthly,good,enough,spring,communal standpipe
28330,2012-10-06,Rural Water Supply And Sanitat,0,DWE,31.58679783,-3.38780779,17,5,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,Parastatal,True,0,gravity,parastatal,unknown,good,seasonal,rainwater harvesting,communal standpipe
18532,2013-02-02,Finw,368,FinW,39.43852591,-10.58336646,9,4,300,True,Water Board,True,1982,submersible,user-group,never pay,good,dry,borehole,communal standpipe
69961,2013-03-12,0,-27,0,39.32230666,-6.85026202,7,3,120,True,SWC,False,2010,submersible,other,never pay,good,enough,borehole,communal standpipe
55083,2011-03-07,Dwe,1674,DWE,34.94362033,-9.35251465,11,4,30,True,VWC,False,2008,gravity,user-group,never pay,good,insufficient,spring,communal standpipe
8691,2013-02-04,Tasaf,1087,DWE,31.04608844,-5.05419563,16,3,1750,True,VWC,True,2005,other,user-group,unknown,milky,enough,shallow well,other
30331,2013-02-09,Government Of Tanzania,1441,DWE,34.62104755,-5.16592646,13,2,1,True,VWC,True,1970,motorpump,user-group,unknown,unknown,dry,borehole,communal standpipe
70970,2012-10-07,Mwanashila,0,DWE,33.72235857,-3.04712172,17,2,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,WUG,False,0,handpump,user-group,never pay,good,enough,shallow well,hand pump
61136,2011-02-23,Tz Japan,1726,DWE,34.92959242,-9.15287185,11,4,50,True,VWC,False,2008,gravity,user-group,monthly,good,enough,spring,communal standpipe
28799,2013-02-18,Germany,986,DWE,35.42444315,-10.57968552,10,2,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,2009,gravity,user-group,never pay,good,dry,river/lake,communal standpipe
46825,2011-04-10,Water,0,MWE &,35.89487669,-6.14752205,1,5,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,False,0,motorpump,user-group,per bucket,salty,dry,borehole,communal standpipe multiple
44718,2013-02-04,Dwsp,0,DWE,0.0,-2e-08,17,1,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,WUG,False,0,handpump,user-group,on failure,salty,enough,shallow well,hand pump
37350,2013-02-20,Bffs,1309,BFFS,36.29176128,-5.24231281,21,5,860,True,VWC,False,2002,gravity,user-group,never pay,good,seasonal,rainwater harvesting,communal standpipe
65738,2013-12-03,Private Individual,1564,Dmdd,35.6124173,-3.35116762,24,30,200,True,VWC,True,2002,gravity,user-group,per bucket,good,enough,river/lake,communal standpipe
3271,2012-10-29,Government Of Tanzania,0,DWE,32.86178245,-3.92819891,14,1,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",False,VWC,True,0,motorpump,user-group,never pay,good,enough,borehole,communal standpipe
42658,2012-11-05,Tlc,0,TLC,33.12453405,-4.85766882,14,3,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,handpump,user-group,never pay,good,seasonal,shallow well,hand pump
67523,2013-03-13,Private Individual,1537,Dmdd,35.66507527,-3.34770932,24,30,300,True,VWC,True,1998,gravity,user-group,per bucket,colored,enough,river/lake,communal standpipe multiple
37034,2011-03-27,Unicef,1489,DWE,34.72199105,-8.86253212,11,4,360,True,WUA,True,1978,gravity,user-group,monthly,good,enough,river/lake,communal standpipe
42432,2011-07-04,Unicef,1798,DWE,34.70534261,-9.1394961,11,4,45,True,WUA,True,1978,gravity,user-group,monthly,good,enough,river/lake,communal standpipe
27420,2011-03-14,Mkinga Distric Coun,0,DWE,38.83713732,-4.77558442,4,8,200,True,VWC,True,1971,gravity,user-group,never pay,colored,insufficient,spring,communal standpipe
707,2013-02-22,Government Of Tanzania,1642,Central govt,37.65808091,-3.7238624,3,2,45,True,WUA,False,1972,gravity,user-group,monthly,good,enough,spring,communal standpipe
48489,2011-02-27,Nethalan,362,DWE,37.47632192,-6.28331307,5,6,1,True,VWC,True,1984,gravity,user-group,never pay,good,insufficient,river/lake,communal standpipe
51008,2011-03-30,Danida,0,DANIDA,33.32603356,-8.88128573,12,2,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,False,0,gravity,user-group,on failure,good,dry,river/lake,communal standpipe
72562,2013-02-06,Jaica,128,Jaica,40.04071287,-10.49203103,99,1,400,True,VWC,True,2006,submersible,user-group,per bucket,good,enough,borehole,communal standpipe multiple
10275,2011-03-19,Government Of Tanzania,216,DWE,38.72134804,-5.17252308,4,3,120,True,VWC,False,1983,handpump,user-group,never pay,good,insufficient,shallow well,hand pump
53540,2012-10-12,World Bank,0,World Bank,33.14491487,-3.71753771,17,3,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,other,user-group,never pay,good,enough,borehole,communal standpipe multiple
43291,2011-08-14,Rotary Club,0,Rotary club,33.33199615,-2.70336413,19,4,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,handpump,user-group,never pay,unknown,dry,shallow well,hand pump
8813,2011-07-28,Ministry Of Water,0,DWE,33.13082951,-3.22665421,19,4,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,submersible,user-group,per bucket,good,enough,river/lake,communal standpipe multiple
62343,2011-04-03,Government Of Tanzania,0,Central Government,33.62516779,-8.86101931,12,2,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,gravity,user-group,on failure,good,dry,river/lake,communal standpipe
1649,2012-10-15,Morovian,0,Morovian,32.35815302,-4.96546043,14,3,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,handpump,user-group,on failure,good,enough,borehole,hand pump
8822,2013-03-04,Isf/government,1010,ISF/Government,37.70648416,-4.00583487,3,3,180,True,Water authority,True,2007,submersible,user-group,per bucket,salty,insufficient,borehole,communal standpipe
10352,2011-04-12,Rc Church,0,RC Church,33.66386327,-8.98179247,12,2,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",False,VWC,False,0,gravity,user-group,on failure,good,enough,river/lake,communal standpipe
50878,2012-10-16,Government Of Tanzania,0,Government,33.77857064,-3.06340514,17,2,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,Water authority,False,0,gravity,commercial,monthly,good,enough,dam,communal standpipe
15266,2011-07-23,Government Of Tanzania,0,DWE,33.58724528,-9.16743357,12,4,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,gravity,user-group,never pay,good,enough,spring,communal standpipe
51956,2011-03-18,Government Of Tanzania,1190,DWE,38.4236917,-4.6312447,4,1,1,True,VWC,True,1974,gravity,user-group,never pay,good,enough,spring,communal standpipe
44099,2013-02-09,Danida,642,DANIDA,37.12085919,-10.78502855,10,1,1,True,VWC,False,1992,handpump,user-group,monthly,good,insufficient,borehole,hand pump
59,2012-10-15,Dwssp,0,DWE,33.59072198,-3.71955244,17,8,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,gravity,user-group,per bucket,good,insufficient,spring,communal standpipe multiple
